"question","answer","hint"
"在斯金納的操作制約中，當學生表現出正確行為時，給予其喜愛的獎勵以增加該行為出現率，這稱為「_______」","正增強","正向強化"
"根據「_______」原則，教師可以利用學生較感興趣的高頻率行為，來強化學生進行低頻率的學習行為","普利馬","又稱老祖母法則"
"班杜拉的社會學習理論強調，個體透過觀察他人的行為及後果進行學習，這種過程稱為「_______」","觀察學習","也稱替代學習"
"當教師採取「_______」策略時，會將複雜的目標行為分解成多個小步驟，並在學生達成每個小步驟時給予及時強化","塑造","逐漸形成"
"「_______」是指撤除學生厭惡的刺激，以達到增加某種期望行為的目的","負增強","負向強化"
"在教學中，若同時給予視覺文字與口頭旁白，而兩者內容完全相同，反而會造成學習者的認知干擾，這種現象在理論中被稱為「_______」","冗餘效應","重複且多餘"
"皮亞傑認為當個體遇到新經驗時，會嘗試將其納入既有的認知結構中，這稱為「同化」；若必須改變原有的結構以適應新環境，則稱為「_______」","調適","調整適應"
"「_______」是指個體對自己認知過程的監控與調整","後設認知","在思考之上的思考"
"維高斯基提出的「_______」是指學生「獨自表現的水準」與「在成人指導下展現的水準」之間的差距，這是教學發揮最大效能的區域","近側發展區","可能的潛力範圍"
"教師在學生學習新技能初期提供大量的支持與指引，隨著學生能力的提升而逐漸減少協助，這種教學策略在認知學派中被稱為「_______」","鷹架","臨時支架"
